代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000528,柳    工,7.57,-1.43,1.45,流出,-109.69,-0.49,-472.16,-2.1,362.47,1.61,-1393.94,-6.21,1503.63,6.69,2026-06-26T15:03:51+08:00,2026-06-26T15:04:15+08:00
000529,广弘控股,4.39,0.92,1.27,流出,-175.2,-5.48,0.0,0.0,-175.2,-5.48,-153.47,-4.8,328.66,10.28,2026-06-26T15:03:54+08:00,2026-06-26T15:04:15+08:00
000530,冰山冷热,5.03,-5.81,4.51,流出,-567.62,-4.1,3.09,0.02,-570.71,-4.12,-523.69,-3.78,1091.3,7.88,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000531,穗恒运Ａ,6.12,-4.97,1.93,流出,-1280.09,-11.63,-1152.22,-10.47,-127.87,-1.16,473.61,4.3,806.48,7.33,2026-06-26T15:03:54+08:00,2026-06-26T15:04:15+08:00
000532,华金资本,10.69,-4.04,1.82,流出,-593.13,-8.79,-341.48,-5.06,-251.65,-3.73,219.18,3.25,373.95,5.54,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000533,顺钠股份,9.56,-4.21,3.85,流出,-1455.25,-5.66,-110.6,-0.43,-1344.64,-5.23,35.6,0.14,1419.65,5.52,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000534,万泽股份,27.4,-5.06,2.97,流出,-4980.31,-12.0,-1579.95,-3.81,-3400.36,-8.19,-389.02,-0.94,5369.33,12.94,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000536,华映科技,3.13,-0.95,2.34,流入,24.52,0.12,704.12,3.42,-679.6,-3.3,-287.32,-1.4,262.81,1.28,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000537,绿发电力,7.44,-1.06,1.83,流出,-1350.94,-4.72,-731.94,-2.56,-619.0,-2.16,775.87,2.71,575.07,2.01,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000538,云南白药,47.0,-0.32,0.43,流入,750.73,2.08,457.1,1.27,293.62,0.81,-1606.49,-4.45,855.76,2.37,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000539,粤电力Ａ,6.53,-2.68,6.4,流出,-3483.75,-3.16,-337.59,-0.31,-3146.16,-2.85,3780.6,3.43,-296.85,-0.27,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000541,佛山照明,5.14,2.19,1.81,流入,26.22,0.23,-136.53,-1.2,162.75,1.43,314.45,2.76,-340.67,-2.99,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000543,皖能电力,7.66,-1.79,1.64,流入,181.57,0.63,140.0,0.48,41.56,0.14,-451.16,-1.55,269.6,0.93,2026-06-26T15:04:12+08:00,2026-06-26T15:04:15+08:00
000544,中原环保,7.13,-1.79,0.41,流入,177.16,6.16,0.0,0.0,177.16,6.16,-263.1,-9.15,85.95,2.99,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000545,金浦钛业,2.52,-3.82,7.37,流出,-1755.28,-9.54,-335.01,-1.82,-1420.27,-7.72,-40.57,-0.22,1795.85,9.76,2026-06-26T15:04:15+08:00,2026-06-26T15:04:15+08:00
